id,name,csp,cso,logo,service_offering,status,authorization,reuse,ready_status,ready_date,ip_jab_status,ip_jab_date,ip_agency_status,ip_agency_date,ip_pmo_status,ip_pmo_date,auth_date,auth_type,fedramp_ready,partnering_agency,fedramp_auth,annual_assessment,independent_assessor,service_model,deployment_model,impact_level,impact_level_number,leveraged_systems,agency_authorizations,agency_reuse,service_desc,sales_email,security_email,website,uei,small_business,business_function,service_last_90,all_others,filter_classes
FR1833967442,Contegix,Contegix,SecureCloud,https://www.fedramp.gov/assets/img/logos/CSP_logos/Contegix%20Logo.png,SecureCloud,FedRAMP Authorized,2,4,Not Active,No FRR Date,Not Active,Not Active,Not Active,2014-11-20T20:00:00.000Z,Not Active,2015-04-08T20:00:00.000Z,2015-05-21T20:00:00.000Z,Agency,No FRR Date,Not In Process,2015-05-21T20:00:00.000Z,03/26,"A-LIGN Compliance and Security, Inc. dba A-LIGN",['PaaS'],Hybrid Cloud,Moderate,3,"[{'id': 'FR1924344515', 'csp': 'Wellspring Worldwide, Inc.', 'cso': 'Sophia Knowledge Management System', 'status': 'FedRAMP Authorized', 'impact_level': 'Moderate', 'impact_level_number': '3'}]","['Department of Commerce', 'Federal Trade Commission']","['22-007-19', '22-007-20', '22-036']","SecureCloud is provided by Contegix as a FedRAMP moderate Platform as a Service (PaaS) offering. The offering consists several managed services to facilitate hosting federal applications in a secure environment. The solution provided is a multi-tenant cloud-based environment, with the option for deployment of single-tenant environments if required by specific customers and system owners.

Contegix offers a managed hosting service that empowers customers to retain complete control over the application environment, while dramatically reducing the time and cost associated with in-house administration. Contegix solutions are designed to provide end-to-end managed hosting - from software, server, and network support, including setup, configuration, upgrades, monitoring, and troubleshooting. SecureCloud supports the following technologies within the tenant space: CentOS, Red Hat Enterprise Linux, Oracle Linux, Ubuntu, and Microsoft Windows Server. Contegix provisions customers' instances with Apache, PHP, MySQL, IIS, .net, Active Directory, SQL Server, Oracle Database, LDAP and other technologies on behalf of the customer.

Contegix manages the customer tenant from the application down to the infrastructure as defined by Platform as a Service (PaaS). Within SecureCloud, tenants automatically get monitoring, security hardening, Operating System management and patching, managed backups, and managed firewalls. Contegix manages up to the application code including approved configuration changes for the system owner. Security is at the forefront of SecureCloud and with that focus, Contegix manages patching of operating systems as well as services that serve application code such as web services, database services, but does not patch the application code itself.

Disaster recovery is done at the tenant level for SecureCloud customers as PaaS allows for this to be the most efficient. Other disaster recovery techniques can be used to meet requirements as needed however, the agency can define in a statement of work what level of recovery that is needed for the system.

Enterprise managed hosting and services distributes applications across multiple servers and/or firewalls within the tenant environment. Enterprise managed hosting and services delivers optimum performance for high-volume, mission-critical business systems solutions that require the highest level of availability and scalability. The managed hosting solution provided by Contegix is based upon virtualized hosts, and provides support for on-demand creation of virtual machines. Individual tenant environments within SecureCloud are isolated from one another through security capabilities at both the network and host levels.",,sales@contegix.com,https://www.contegix.com/,,Yes,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Hybrid-Cloud filter-small-business-Yes filter-assessor-A-LIGN-Compliance-and-Security-Inc-dba-A-LIGN filter-service-model-PaaS filter-business-function-
FR2325657620,Content Guru,Content Guru,Storm Cloud Contact Center,https://www.fedramp.gov/assets/img/logos/CSP_logos/ContentGuru%20Logo.png,Storm Cloud Contact Center,FedRAMP In Process,0,0,Not Active,No FRR Date,Not Active,Not Active,2023-08-16T20:00:00.000Z,2023-08-16T20:00:00.000Z,Not Active,Not In Process,Not Active,Agency,No FRR Date,,Not Active,,"Fortreum, LLC",['SaaS'],Government Community Cloud,High,4,[],[''],[''],"storm from Content Guru delivers a single-stack, end-to-end customer experience solution, providing not just the essentials of CCaaS (Contact Center as a Service), but a seamless customer journey. storm brings together different channels of communication in a single contact center platform, allowing federal agencies to focus on delivering outstanding citizen experiences. 

As well as its core CCaaS capabilities, storm includes cutting-edge CRM, powerful reporting and analytics tools, workforce optimization, workforce engagement management, customized audio conferencing for command control applications, unified communication, and deep API integrations. With all the data stored securely in one customer data platform, government agencies can easily turn insight into actions. 

These powerful capabilities are supported by AI-driven Intelligent Automation and delivered with a minimum of 99.999% reliability – allowing storm to deliver hyper-scale, agile solutions, for Federal government agency customers.
",PublicSectorSales@contentguru.com,FedRAMP@contentguru.com,contentguru.com/en-us,,No,"['Collaboration', 'Communication', 'Customer Relations Management (CRM)', 'Customer Service']",[''],[''], filter-status-FedRAMP-In-Process filter-impact-level-High filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Fortreum-LLC filter-service-model-SaaS filter-business-function-Collaboration filter-business-function-Communication filter-business-function-Customer-Relations-Management-CRM- filter-business-function-Customer-Service
FR1915750265,"Continuum GRC, Inc.","Continuum GRC, Inc.",ITAM,https://www.fedramp.gov/assets/img/logos/CSP_logos/Continuum%20Logo.png,ITAM,FedRAMP Authorized,1,0,Not Active,No FRR Date,Not Active,Not Active,Not Active,2020-12-23T20:00:00.000Z,Not Active,2020-12-23T20:00:00.000Z,2021-11-15T20:00:00.000Z,Agency,No FRR Date,Not In Process,2021-11-15T20:00:00.000Z,12/23,"Sentar, Inc.",['SaaS'],Government Community Cloud,Moderate,3,[],['Small Business Administration'],[''],"Auto-mapped standards, automated documentation, real-time status, risk & maturity. When it comes to Compliance Cartography, no one is more comprehensive, secure and automated saving you time, trouble and money. Serving the enterprise to the start-up community. Continuum GRC is a software as a service (SaaS) product that is purpose build for users who perform audit & compliance assessments, risk assessment & risk management, governance & policy development, and all other manner of audits and assessments.

Continuum GRC modules include support for the world’s frameworks including NIST 800-53. DoD SRG, CMMC, 800-171, 800-66, 800-30, FedRAMP, StateRAMP, CJIS, DFARS, HIPAA, ITRM, AICPA SOC 1, SOC 2, GDPR, ISO 27001, NERC CIP, EUCS, C5, PCI DSS, LADMF and hundreds of others.

In addition to pre-configured questionnaires, assessment modules, and forms, the Continuum GRC ITAM SaaS application has creation tools that provide drag-n-drop easy custom creation for system administrators to construct their own assessment modules in 26 languages. Real time reports on Compliance Status, Risk Scores, Maturity Scores, workflows, tasking records, evidence management, and historical performance helping you stay proactive; not reactive.

Use Continuum GRC to replace existing tools, templates, and manual processes in place to support internal compliance and GRC requirements. The automation of Continuum GRC reduces manual labor, complexity of and between frameworks, produces reports, SSPs, POA&Ms, graphics, dashboards, and related outputs all sustained over the entire lifecycle of the program all within a single view with a unified source for governance, risk and compliance that supercharges performance and eliminates complexity.

For a complete list of features and capabilities, please visit https://continuumgrc.com/subscription-options/. ",,FedRAMP@ContinuumGRC.com,https://continuumgrc.com/,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Sentar-Inc- filter-service-model-SaaS filter-business-function-
FR2200507410,Copado,Copado,Copado GovCloud,https://www.fedramp.gov/assets/img/logos/CSP_logos/Copado%20Logo.png,Copado GovCloud,FedRAMP Authorized,2,1,Not Active,No FRR Date,Not Active,Not Active,Not Active,2022-02-23T20:00:00.000Z,Not Active,2022-10-28T20:00:00.000Z,2023-04-28T20:00:00.000Z,Agency,No FRR Date,Not In Process,2023-04-28T20:00:00.000Z,10/28,"A-LIGN Compliance and Security, Inc. dba A-LIGN",['SaaS'],Public Cloud,Moderate,3,[],"['Department of Veterans Affairs', 'Federal Deposit Insurance Corporation']",[''],"Copado GovCloud is a cloud DevOps platform designed to make Salesforce releases faster, more efficient, and scalable across hundreds of production and sandbox instances. Copado GovCloud integrates with all major Git solutions and ensures developers, administrators, and low-code Salesforce users can all commit changes to a central Git repository or seamlessly deploy from a QA environment to production. Copado is used by small organizations and large enterprises across a wide range of industries to accelerate time to market for Salesforce applications, enhance developer efficiency, increase security visibility, improve Salesforce testing capabilities and enable digital cloud transformations. The services in scope for Copado GovCloud are:

- Deploying Salesforce metadata to production and sandbox instances, with Git integration for version control and branch management. 
- Change management including agile development processes, quality gates, and code scanning. 
- Continuous deployment and continuous integration, including visual pipeline configuration.
- Compliance rules for Salesforce metadata, including rule creation, monitoring, and enforcement of policies across user stories, Git snapshots, and deployments. * Test data seeding across sandboxes ensuring accurate quality assurance prior to production deployments.",,fedramp@copado.com,https://www.copado.com/industries/public-sector,,Yes,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Public-Cloud filter-small-business-Yes filter-assessor-A-LIGN-Compliance-and-Security-Inc-dba-A-LIGN filter-service-model-SaaS filter-business-function-
FR1722160191,CORAS,CORAS,CORAS Federal,https://www.fedramp.gov/assets/img/logos/CSP_logos/CORAS%20Logo.png,CORAS Federal,FedRAMP Authorized,1,0,Not Active,2020-11-05T20:00:00.000Z,Not Active,2021-02-04T20:00:00.000Z,Not Active,Not Agency Partnered,Not Active,Not In Process,2021-07-27T20:00:00.000Z,JAB,2020-11-05T20:00:00.000Z,Not In Process,2021-07-27T20:00:00.000Z,07/23,"Fortreum, LLC",['SaaS'],Government Community Cloud,High,4,[],['JAB Authorization'],[''],"CORAS Federal is a multi-tenant cloud offering of the CORAS NODES commercial offering for Federal, State and Local Government customers. CORAS Federal is a SaaS offering with a set of natively integrated Enterprise Decision Management Applications designed to solve the unique requirements of the Federal management and reporting processes. Our application enables federal organizations to make critical decisions rapidly and efficiently by utilizing Natural Language Processing, Artificial Intelligence, and Machine Learning-based decision management applications. CORAS NODES, through its platform and vast data discovery toolset, brings data and users together to collaborate on tasks, perform processes, and report in real-time. CORAS Federal is hosted on AWS GovCloud and utilizes AWS services to ensure both availability and scalability of the SaaS to meet its customers' demands. CORAS Federal system features align with cloud computing essential characteristics described in the National Institute of Standards and Technology (NIST) Special Publication (SP) 800-145. CORAS is dedicated to the unique needs of the federal government. We believe in providing off-the-shelf software flexible enough to be configured to meet the specific, information-based decision-making challenges of the federal government. As decision management is migrating away from spreadsheets, presentations, and email messages, it is critical for federal agencies to make fast decisions based on accurate data and transparency throughout the organization.",FedRAMP@CORAS.com,FedRAMP@CORAS.com,https://www.coras.com/fedramp,N2D4L65472N5,Yes,"['Analytics', 'Finance', 'Operations Management']",[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-High filter-auth-type-JAB filter-deployment-model-Government-Community-Cloud filter-small-business-Yes filter-assessor-Fortreum-LLC filter-service-model-SaaS filter-business-function-Analytics filter-business-function-Finance filter-business-function-Operations-Management
FR2029183077,Cority Software Inc.,Cority Software Inc.,CorityOne,https://www.fedramp.gov/assets/img/logos/CSP_logos/Cority%20Logo.png,CorityOne,FedRAMP Authorized,5,4,Not Active,2021-02-16T20:00:00.000Z,Not Active,Not Active,Not Active,2021-09-28T20:00:00.000Z,Not Active,2022-05-04T20:00:00.000Z,2022-08-29T20:00:00.000Z,Agency,2021-02-16T20:00:00.000Z,Not In Process,2022-08-29T20:00:00.000Z,05/04,Kratos,['SaaS'],Government Community Cloud,Moderate,3,[],"['Argonne Site Office', 'Department of Health and Human Services', 'National Science Foundation', 'Strategic Petroleum Reserve', 'Tennessee Valley Authority']",[''],"Cority gives every employee from the field to the board room the power to make a difference, reducing risks and creating a safer, healthier, and more sustainable world. Cority's people-first software solutions were built by EHS and sustainability experts who know the pressures businesses and agencies face. Time-tested, scalable, and configurable, CorityOne consists of a comprehensive suite of solutions for managing environmental, health, safety, sustainability, and quality programs. The responsible business platform combines datasets from across the organization to enable improved efficiencies, actionable insights, data-driven decisions, and more accurate reporting on performance. Trusted by over 1300 organizations globally, Cority deeply cares about helping people work toward a better future for everyone.  

- Waste Management, Water Management, Air Management, Chemical Management 
- Impact Management, Sustainability Performance, ESG Management 
- Occupational Health, Employee Health, Industrial Hygiene, Industrial Ergonomics, Healthcare Systems, Office Ergonomics, COVID-19 Response 
- Incident Management, Audit & Inspections, Compliance Management, Mobile Solutions, Risk Management, Management of Change 
- Injury and Illness, Behaviour-Based Security, Contractor Safety 
- Data Quality, Benchmarks, CorInsights, CorAnalytics 
- Supplier Management, Quality Management, Product Management 

Cority's iterative deployment methodology and ability to integrate easily with other optional third-party services result in painless data migrations, software aligned to business processes, and low project risk. When agencies choose to join the Cority Community, they will benefit from the collaboration of thousands of other users and be supported by Cority software and EHS experts committed to Agency customer success. Cority leads the way in application and data center security, with certifications for ISO27001, ISO270017, ISO20018, SOC Type 2, and HIPAA",contactus@cority.com,fedramp@cority.com,https://www.cority.com/,JJKKJ9PYWAP1,Yes,"['Analytics', 'Collaboration', 'Communication', 'Cybersecurity & Risk Management', 'Data Management', 'Education & Training', 'Health & Wellness', 'Human Resources', 'Operations Management']",[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-Yes filter-assessor-Kratos filter-service-model-SaaS filter-business-function-Analytics filter-business-function-Collaboration filter-business-function-Communication filter-business-function-Cybersecurity-Risk-Management filter-business-function-Data-Management filter-business-function-Education-Training filter-business-function-Health-Wellness filter-business-function-Human-Resources filter-business-function-Operations-Management
F1509217359,Cornerstone OnDemand,Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),https://www.fedramp.gov/assets/img/logos/CSP_logos/Cornerstone%20Logo.png,Unified Talent Management Suite (CUTMS),FedRAMP Authorized,20,19,Not Active,No FRR Date,Not Active,Not Active,Not Active,2015-04-09T20:00:00.000Z,Not Active,2015-09-22T20:00:00.000Z,2016-02-02T20:00:00.000Z,Agency,No FRR Date,Not In Process,2016-02-02T20:00:00.000Z,09/30,"Schellman Compliance, LLC",['SaaS'],Government Community Cloud,Moderate,3,[],"['Consumer Financial Protection Bureau', 'Defense Acquisition University', 'Department of Commerce', 'Department of the Navy', 'Department of the Treasury', 'Federal Communications Commission', 'Federal Housing Finance Agency', 'Federal Trade Commission', 'First Responder Network Authority', 'Food and Drug Administration', 'National Cancer Institute', 'Nuclear Regulatory Commission', 'Small Business Administration', 'Social Security Administration', 'United States Agency for International Development', 'United States Capitol Police', 'United States Census Bureau', 'United States House of Representatives', 'United States Postal Service', 'United States Securities and Exchange Commission']",[''],"Cornerstone OnDemand (NASDAQ: CSOD) is the global leader in cloud-based learning and talent management software. The company's solutions help organizations realize the potential of the modern workforce. From recruitment, onboarding, training and collaboration, to performance management, compensation, succession planning and analytics, Cornerstone is designed to enable a lifetime of learning and development that is fundamental to the growth of employees and organizations. Based in Santa Monica, California, the company's solutions are used by nearly 2,700 clients worldwide, spanning 25 million users across 191 countries and 42 languages. To learn more about Cornerstone, visit us on Twitter, Facebook and our blog. For more information, visit https://www.cornerstoneondemand.com/.",,DToy@csod.com,http://www.cornerstoneondemand.com/,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-SaaS filter-business-function-
F1206111371,"CoSo Cloud, LLC.","CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform for Class and Adobe,https://www.fedramp.gov/assets/img/logos/CSP_logos/CoSo%20Logo2.png,CoSo Cloud FedRAMP Managed Service Platform for Class and Adobe,FedRAMP Authorized,7,6,Not Active,No FRR Date,Not Active,Not Active,Not Active,2012-09-12T20:00:00.000Z,Not Active,2015-07-29T20:00:00.000Z,2017-06-21T20:00:00.000Z,Agency,No FRR Date,Food and Drug Administration,2017-06-21T20:00:00.000Z,04/19,"Coalfire Systems, Inc.",['SaaS'],Government Community Cloud,Moderate,3,[],"['Defense Information Systems Agency', 'Federal Law Enforcement Training Centers', 'Food and Drug Administration', 'Internal Revenue Service', 'United States Marine Corps', 'United States Patent and Trademark Office']",[''],"The CoSo Cloud FedRAMP Managed Service Platform (FMSP) for Class and Adobe, supports the latest versions of Adobe Connect; Adobe Learning Manager (ALM); and Class Technologies (class.com) for secure virtual training and eLearning collaboration.   CoSo’s proven platform enables distributed government agencies to conduct virtual classroom training meetings and eLearning engagement of high-consequence with 99.99% service level uptime guarantees, with confidence in a trusted FedRAMP Moderate secure environment. 
 
Adobe Connect is designed for immersive synchronous online meeting experiences for training, large-scale webinars, and virtual classroom meetings for a distributed workforce.
 
Adobe Learning Manager (ALM) is an asynchronous Learning Management System that enables Learning and Development teams to drive personalized learning experiences across multiple devices.
 
Class Technologies Inc. (class.com) is the next generation virtual learning environment that enables active learning, collaboration, and engagement in online classes and virtual instructor-led training.
 
Multiple Federal agencies rely on the CoSo platform to facilitate interagency crisis-communications and manage complex eLearning programs amongst multiple distributed stakeholders. CoSo’s managed services include 24 X 7 X 365 global support with white glove services for purpose-built custom configurations to support a variety of customer use cases.",sales@cosocloud.com,security@cosocloud.com,https://www.cosocloud.com/,,Yes,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Government-Community-Cloud filter-small-business-Yes filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-
F1308202329,Coupa Software Inc,Coupa Software Inc,Coupa Spend Management for Federal,https://www.fedramp.gov/assets/img/logos/CSP_logos/Coupa%20Logo.png,Coupa Spend Management for Federal,FedRAMP Authorized,2,1,Not Active,2020-10-22T20:00:00.000Z,Not Active,Not Active,Not Active,2021-09-14T20:00:00.000Z,Not Active,2021-11-10T20:00:00.000Z,2022-03-10T20:00:00.000Z,Agency,2020-10-22T20:00:00.000Z,Not In Process,2022-03-10T20:00:00.000Z,11/10,"Schellman Compliance, LLC",['SaaS'],Public Cloud,Moderate,3,[],"['Federal Reserve System', 'National Nuclear Security Administration']",[''],"Coupa Spend Management for Federal is a cloud and mobile platform for managing procurement/acquisition/contract related processes. It covers the end-to-end process, including supplier identification, sourcing, contracting, procurement against contracts, invoicing, payments, and spend analytics to ensure compliance and efficiency.

Key capabilities include:

- Consumer-grade end user and supplier experience to ensure broad adoption of the platform and maximize the value of each dollar spent. Proven, secure solution that offers extensive configuration options, avoiding the need for custom code that is expensive to write and maintain  

- Full auditability for FAR/DFARS processes, including related contract documents and communications across internal agency team members and external vendors. Reduction in manual and paper-based processes using the latest in Artificial Intelligence (AI), Machine Learning (ML), and Image Recognition.

-Support for compliance with Cost Accounting Standards (CAS) and other regulatory and/or compliance mandates.",,sales@coupa.com,https://www.coupa.com/,,No,[''],[''],[''], filter-status-FedRAMP-Authorized filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Public-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-SaaS filter-business-function-
FR2122140784,Covergent Solutions Inc dba Exiger Government Solutions (EGS),Covergent Solutions Inc dba Exiger Government Solutions (EGS),Exiger Federal Cloud (EFC),https://www.fedramp.gov/assets/img/logos/CSP_logos/Exiger%20Logo.png,Exiger Federal Cloud (EFC),FedRAMP In Process,0,0,Not Active,No FRR Date,Not Active,Not Active,Not Active,2023-03-29T20:00:00.000Z,2023-07-25T20:00:00.000Z,2023-07-25T20:00:00.000Z,Not Active,Agency,No FRR Date,National Nuclear Security Administration,Not Active,,"Coalfire Systems, Inc.",['SaaS'],Public Cloud,Moderate,3,[],[''],[''],"Exiger Government Solutions (EGS) developed a Software as a Service (SaaS) product named OneExiger which provides access to multiple modules - Due Diligence Intelligence (DDIQ), Third Party Management (3PM), Supply Dynamics (SDX), and Analytics. ",fedramp@exiger.com,security@exiger.com,https://www.exiger.com/industries/public-sector/,,No,"['Analytics', 'Customer Relations Management (CRM)', 'Customer Service', 'Cybersecurity & Risk Management', 'Data Management', 'Legal & Policy', 'Marketing & Sales', 'Research']",[''],[''], filter-status-FedRAMP-In-Process filter-impact-level-Moderate filter-auth-type-Agency filter-deployment-model-Public-Cloud filter-small-business-No filter-assessor-Coalfire-Systems-Inc- filter-service-model-SaaS filter-business-function-Analytics filter-business-function-Customer-Relations-Management-CRM- filter-business-function-Customer-Service filter-business-function-Cybersecurity-Risk-Management filter-business-function-Data-Management filter-business-function-Legal-Policy filter-business-function-Marketing-Sales filter-business-function-Research
FR2208161949,Crestron Electronics Inc,Crestron Electronics Inc,Crestron XiO Cloud,https://www.fedramp.gov/assets/img/logos/CSP_logos/Crestron%20Logo.png,Crestron XiO Cloud,FedRAMP In Process,0,0,Not Active,No FRR Date,Not Active,Not Active,2023-07-05T20:00:00.000Z,2023-07-05T20:00:00.000Z,Not Active,Not In Process,Not Active,Agency,No FRR Date,,Not Active,,"Schellman Compliance, LLC",['SaaS'],Public Cloud,LI-SaaS,1,[],[''],[''],"The Crestron XiO Cloud service allows all supported Crestron devices and certain supported third-party devices across an enterprise to be managed and configured from one central, secure location in the cloud. The XiO Cloud service may be used to view the status of a device, to configure various device and network settings, to manage licenses, and to update device firmware.
",,secreq@crestron.com,www.crestron.com,,No,[''],[''],[''], filter-status-FedRAMP-In-Process filter-impact-level-LI-SaaS filter-auth-type-Agency filter-deployment-model-Public-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-SaaS filter-business-function-
FR1807853629A,"CrowdStrike, Inc.","CrowdStrike, Inc.",CrowdStrike Falcon Platform for Government - High,https://www.fedramp.gov/assets/img/logos/CSP_logos/CrowdStrike%20Logo.png,CrowdStrike Falcon Platform for Government - High,FedRAMP Ready,0,0,2023-12-04T20:00:00.000Z,2023-12-04T20:00:00.000Z,Not Active,Not Active,Not Active,Not Agency Partnered,Not Active,Not In Process,Not Active,JAB,2023-12-04T20:00:00.000Z,,Not Active,,"Schellman Compliance, LLC",['SaaS'],Government Community Cloud,High,4,[],[''],[''],"CrowdStrike, the world’s leading AI-native cybersecurity platform has revolutionized endpoint protection by delivering next-generation antivirus, extended detection and response (XDR), 24/7 managed hunting service, SIEM, and threat intelligence – all delivered via a single lightweight agent. The CrowdStrike Falcon Platform for Government protects customers against advanced cyber-attacks, using sophisticated signature-less artificial intelligence/machine learning and Indicator of Attack (IOA) based threat prevention to stop known and unknown threats in real-time. Core to its innovative approach is the CrowdStrike Threat Graph which analyzes and correlates over 7 trillion events per week from millions of sensors deployed across more than 170 countries, uniquely providing crowdsourced protection for the entire customer community. In today’s threat environment, it takes people, processes, technology AND intelligence to protect against sophisticated and persistent attacks. In addition to Falcon Endpoint protection, CrowdStrike Falcon Platform for Government provides Falcon Intelligence, a Cyber Threat Intelligence service delivered via the Cloud providing insights into the tools, tactics, and procedures of 80+ adversary groups - allowing government and organizations to plan for events in the future, diagnose incidents more efficiently, and monitor changes in the environment to prevent damage from advanced malware and targeted attacks in the FedRAMP regulated space. Many of the world's largest organizations already put their trust in CrowdStrike, including three of the 10 largest global companies by revenue, five of the 10 largest financial institutions, three of the top 10 health care providers, and three of the top 10 energy companies.",sales@crowdstrike.com,fedramp@crowdstrike.com,https://www.crowdstrike.com/solutions/falcon-on-govcloud/,,No,"['Analytics', 'Cybersecurity & Risk Management']",[''],[''], filter-status-FedRAMP-Ready filter-impact-level-High filter-auth-type-JAB filter-deployment-model-Government-Community-Cloud filter-small-business-No filter-assessor-Schellman-Compliance-LLC filter-service-model-SaaS filter-business-function-Analytics filter-business-function-Cybersecurity-Risk-Management
